wavenumber         DET0         DET1
     -28.2     0.045358     0.040978
     -28.1     0.046445     0.042124
     -28.0     0.047593     0.043384
     -27.9     0.048798     0.044753
     -27.8     0.050054     0.046225
     -27.7     0.051354     0.047785
     -27.6     0.052692     0.049423
     -27.5     0.054059     0.051123
     -27.4     0.055447     0.052868
     -27.3     0.056851     0.054644
     -27.2     0.058261     0.056431
     -27.1     0.059672     0.058213
     -27.0     0.061080     0.059974
     -26.9     0.062479     0.061699
     -26.8     0.063868     0.063376
     -26.7     0.065247     0.064996
     -26.6     0.066617     0.066549
     -26.5     0.067980     0.068032
     -26.4     0.069341     0.069443
     -26.3     0.070706     0.070780
     -26.2     0.072079     0.072046
     -26.1     0.073468     0.073242
     -26.0     0.074876     0.074372
     -25.9     0.076309     0.075437
     -25.8     0.077769     0.076439
     -25.7     0.079253     0.077376
     -25.6     0.080760     0.078244
     -25.5     0.082280     0.079037
     -25.4     0.083803     0.079746
     -25.3     0.085313     0.080356
     -25.2     0.086791     0.080853
     -25.1     0.088212     0.081218
     -25.0     0.089552     0.081433
     -24.9     0.090782     0.081480
     -24.8     0.091871     0.081334
     -24.7     0.092793     0.080986
     -24.6     0.093514     0.080413
     -24.5     0.094011     0.079611
     -24.4     0.094262     0.078574
     -24.3     0.094242     0.077295
     -24.2     0.093946     0.075786
     -24.1     0.093357     0.074052
     -24.0     0.092480     0.072114
     -23.9     0.091320     0.069992
     -23.8     0.089880     0.067709
     -23.7     0.088186     0.065299
     -23.6     0.086251     0.062790
     -23.5     0.084105     0.060217
     -23.4     0.081775     0.057611
     -23.3     0.079288     0.055005
     -23.2     0.076677     0.052429
     -23.1     0.073970     0.049912
     -23.0     0.071198     0.047477
     -22.9     0.068388     0.045144
     -22.8     0.065563     0.042934
     -22.7     0.062747     0.040859
     -22.6     0.059961     0.038935
     -22.5     0.057225     0.037170
     -22.4     0.054555     0.035573
     -22.3     0.051971     0.034159
     -22.2     0.049490     0.032931
     -22.1     0.047134     0.031907
     -22.0     0.044923     0.031097
     -21.9     0.042882     0.030516
     -21.8     0.041042     0.030189
     -21.7     0.039431     0.030129
     -21.6     0.038090     0.030368
     -21.5     0.037052     0.030924
     -21.4     0.036358     0.031824
     -21.3     0.036061     0.033100
     -21.2     0.036191     0.034765
     -21.1     0.036806     0.036854
     -21.0     0.037935     0.039373
     -20.9     0.039617     0.042335
     -20.8     0.041897     0.045756
     -20.7     0.044784     0.049620
     -20.6     0.048316     0.053931
     -20.5     0.052489     0.058658
     -20.4     0.057302     0.063775
     -20.3     0.062762     0.069251
     -20.2     0.068828     0.075027
     -20.1     0.075488     0.081055
     -20.0     0.082686     0.087264
     -19.9     0.090369     0.093582
     -19.8     0.098484     0.099930
     -19.7     0.106948     0.106226
     -19.6     0.115690     0.112377
     -19.5     0.124614     0.118298
     -19.4     0.133631     0.123901
     -19.3     0.142640     0.129090
     -19.2     0.151544     0.133795
     -19.1     0.160234     0.137922
     -19.0     0.168613     0.141413
     -18.9     0.176584     0.144210
     -18.8     0.184037     0.146245
     -18.7     0.190899     0.147503
     -18.6     0.197066     0.147935
     -18.5     0.202477     0.147548
     -18.4     0.207068     0.146346
     -18.3     0.210763     0.144328
     -18.2     0.213547     0.141551
     -18.1     0.215359     0.138037
     -18.0     0.216206     0.133863
     -17.9     0.216083     0.129098
     -17.8     0.214978     0.123809
     -17.7     0.212943     0.118102
     -17.6     0.209985     0.112059
     -17.5     0.206174     0.105790
     -17.4     0.201568     0.099393
     -17.3     0.196218     0.092970
     -17.2     0.190224     0.086623
     -17.1     0.183652     0.080450
     -17.0     0.176607     0.074539
     -16.9     0.169183     0.068972
     -16.8     0.161471     0.063835
     -16.7     0.153580     0.059179
     -16.6     0.145606     0.055076
     -16.5     0.137653     0.051560
     -16.4     0.129816     0.048665
     -16.3     0.122195     0.046433
     -16.2     0.114875     0.044859
     -16.1     0.107954     0.043970
     -16.0     0.101506     0.043752
     -15.9     0.095606     0.044197
     -15.8     0.090341     0.045308
     -15.7     0.085753     0.047048
